	ON	OTU	Kingdom	Supergroup	Phylum	Class	Order	Family	Genus	Species
63	206	Otu00206	Eukaryota	Archaeplastida	Chlorophyta	Trebouxiophyceae	Prasiolales	Stichococcaceae	Pseudostichococcus	Pseudostichococcus_monallantoides
64	262	Otu00262	Eukaryota	Archaeplastida	Chlorophyta	Trebouxiophyceae	Prasiolales	Prasiolaceae	Rosenvingiella	Rosenvingiella_radicans
65	59	Otu00059	Eukaryota	Archaeplastida	Chlorophyta	Trebouxiophyceae	Prasiolales	Stichococcaceae	Stichococcus	Stichococcus_jenerensis
66	111	Otu00111	Eukaryota	Archaeplastida	Chlorophyta	Trebouxiophyceae	Prasiolales	Stichococcaceae	Stichococcus	Stichococcus_sp
67	125	Otu00125	Eukaryota	Archaeplastida	Chlorophyta	Trebouxiophyceae	Prasiolales	Stichococcaceae	Stichococcus	Stichococcus_bacillaris
68	142	Otu00142	Eukaryota	Archaeplastida	Chlorophyta	Trebouxiophyceae	Prasiolales	Stichococcaceae	Stichococcus	Stichococcus_sp
69	148	Otu00148	Eukaryota	Archaeplastida	Chlorophyta	Trebouxiophyceae	Prasiolales	Stichococcaceae	Stichococcus	Stichococcus_sp
70	218	Otu00218	Eukaryota	Archaeplastida	Chlorophyta	Trebouxiophyceae	Prasiolales	Stichococcaceae	Stichococcus	Stichococcus_sp
71	263	Otu00263	Eukaryota	Archaeplastida	Chlorophyta	Trebouxiophyceae	Prasiolales	Stichococcaceae	Stichococcus	Stichococcus_sp
72	287	Otu00287	Eukaryota	Archaeplastida	Chlorophyta	Trebouxiophyceae	Prasiolales	Stichococcaceae	Stichococcus	Stichococcus_sp
73	394	Otu00394	Eukaryota	Archaeplastida	Chlorophyta	Trebouxiophyceae	Prasiolales	Stichococcaceae	Stichococcus	Stichococcus_sp
74	411	Otu00411	Eukaryota	Archaeplastida	Chlorophyta	Trebouxiophyceae	Prasiolales	Stichococcaceae	Stichococcus	Stichococcus_sp
75	21	Otu00021	Eukaryota	Archaeplastida	Chlorophyta	Trebouxiophyceae	Trebouxiales	Trebouxiaceae	Asterochloris	Asterochloris_sp
76	9	Otu00009	Eukaryota	Archaeplastida	Chlorophyta	Trebouxiophyceae	Microthamniales	Microthamniales	Unk_Microthamniales	Unk_Microthamniales
77	35	Otu00035	Eukaryota	Archaeplastida	Chlorophyta	Trebouxiophyceae	Microthamniales	Microthamniales	Unk_Microthamniales	Unk_Microthamniales
78	109	Otu00109	Eukaryota	Archaeplastida	Chlorophyta	Trebouxiophyceae	Microthamniales	Microthamniales	Unk_Microthamniales	Unk_Microthamniales
79	210	Otu00210	Eukaryota	Archaeplastida	Chlorophyta	Trebouxiophyceae	Microthamniales	Microthamniales	Unk_Microthamniales	Unk_Microthamniales
80	266	Otu00266	Eukaryota	Archaeplastida	Chlorophyta	Trebouxiophyceae	Microthamniales	Microthamniales	Unk_Microthamniales	Unk_Microthamniales
81	267	Otu00267	Eukaryota	Archaeplastida	Chlorophyta	Trebouxiophyceae	Microthamniales	Microthamniales	Unk_Microthamniales	Unk_Microthamniales
82	294	Otu00294	Eukaryota	Archaeplastida	Chlorophyta	Trebouxiophyceae	Microthamniales	Microthamniales	Unk_Microthamniales	Unk_Microthamniales
83	298	Otu00298	Eukaryota	Archaeplastida	Chlorophyta	Trebouxiophyceae	Microthamniales	Microthamniales	Unk_Microthamniales	Unk_Microthamniales
84	349	Otu00349	Eukaryota	Archaeplastida	Chlorophyta	Trebouxiophyceae	Microthamniales	Microthamniales	Unk_Microthamniales	Unk_Microthamniales
85	14	Otu00014	Eukaryota	Archaeplastida	Chlorophyta	Trebouxiophyceae	Trebouxiales	Trebouxiaceae	Myrmecia	Myrmecia_bisecta
86	17	Otu00017	Eukaryota	Archaeplastida	Chlorophyta	Trebouxiophyceae	Trebouxiales	Trebouxiaceae	Myrmecia	Myrmecia_sp
87	355	Otu00355	Eukaryota	Archaeplastida	Chlorophyta	Trebouxiophyceae	Trebouxiales	Trebouxiaceae	Myrmecia	Myrmecia_sp
